iter	Passed	Remaining
0	100	20021
1	108	10745
2	120	7919
3	127	6234
4	135	5286
5	143	4654
6	152	4194
7	160	3854
8	169	3599
9	177	3376
10	185	3184
11	191	2998
12	199	2862
13	204	2719
14	215	2658
15	222	2561
16	232	2502
17	238	2409
18	245	2340
19	251	2264
20	258	2203
21	265	2147
22	270	2085
23	277	2033
24	282	1977
25	287	1926
26	294	1886
27	300	1844
28	305	1803
29	312	1770
30	317	1732
31	323	1697
32	329	1669
33	336	1641
34	343	1617
35	348	1587
36	353	1558
37	362	1544
38	368	1521
39	374	1499
40	380	1475
41	386	1453
42	392	1433
43	398	1412
44	403	1390
45	409	1371
46	415	1353
47	421	1334
48	427	1317
49	433	1299
50	437	1279
51	443	1263
52	449	1246
53	455	1231
54	460	1215
55	466	1199
56	472	1185
57	477	1170
58	482	1153
59	488	1140
60	493	1125
61	498	1110
62	506	1102
63	512	1089
64	517	1074
65	523	1062
66	529	1051
67	535	1039
68	542	1029
69	548	1018
70	555	1008
71	560	996
72	565	983
73	572	974
74	578	963
75	583	952
76	589	941
77	594	929
78	599	918
79	605	908
80	611	898
81	617	888
82	623	878
83	629	869
84	635	860
85	642	851
86	648	842
87	654	833
88	660	823
89	666	814
90	672	806
91	678	796
92	685	788
93	691	779
94	697	770
95	703	762
96	709	753
97	715	745
98	722	736
99	728	728
100	735	721
101	742	712
102	747	704
103	754	696
104	760	687
105	766	679
106	773	672
107	780	665
108	787	657
109	792	648
110	799	640
111	805	632
112	811	625
113	818	617
114	824	609
115	831	602
116	838	594
117	844	587
118	850	579
119	857	571
120	864	564
121	870	556
122	876	548
123	882	541
124	890	534
125	898	527
126	904	519
127	910	512
128	919	505
129	926	498
130	933	491
131	940	484
132	947	477
133	963	474
134	971	467
135	981	461
136	988	454
137	996	447
138	1004	440
139	1012	434
140	1020	426
141	1033	422
142	1041	415
143	1049	408
144	1057	401
145	1065	393
146	1072	386
147	1081	379
148	1089	372
149	1097	365
150	1105	358
151	1113	351
152	1121	344
153	1128	337
154	1135	329
155	1143	322
156	1149	314
157	1156	307
158	1162	299
159	1168	292
160	1176	284
161	1182	277
162	1190	270
163	1196	262
164	1203	255
165	1210	247
166	1216	240
167	1226	233
168	1233	226
169	1243	219
170	1249	211
171	1256	204
172	1263	197
173	1271	189
174	1278	182
175	1285	175
176	1291	167
177	1298	160
178	1305	153
179	1313	145
180	1341	140
181	1346	133
182	1355	125
183	1363	118
184	1373	111
185	1379	103
186	1386	96
187	1392	88
188	1398	81
189	1405	73
190	1411	66
191	1419	59
192	1427	51
193	1435	44
194	1444	37
195	1452	29
196	1458	22
197	1465	14
198	1471	7
199	1477	0
